condition,eta,eta_neg,noise_rate,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider,mean_profile_drift,mean_profile_separation
centroid_only,0.0,0.0,0.15,2048,200,0.98,0.9459459459459459,1.0,0.9705882352941176,1.0,0.9803921568627451,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,2048,400,0.9825,0.974025974025974,0.987012987012987,0.9722222222222222,1.0,0.9764705882352941,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,2048,700,0.9828571428571429,0.9851851851851852,0.9848484848484849,0.965034965034965,1.0,0.9787234042553191,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,2048,1000,0.98,0.984375,0.9746192893401016,0.964824120603015,1.0,0.9752475247524752,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,3072,50,0.98,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,3072,100,0.99,1.0,1.0,0.9523809523809523,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,3072,200,0.99,0.975,1.0,0.972972972972973,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,3072,400,0.985,0.9714285714285714,0.9873417721518988,0.9746835443037974,1.0,0.9900990099009901,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,3072,700,0.9814285714285714,0.984251968503937,0.986013986013986,0.9705882352941176,0.9922480620155039,0.9757575757575757,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,3072,1000,0.981,0.984375,0.9855072463768116,0.9644670050761421,0.9945054945054945,0.9774774774774775,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,4096,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,4096,100,0.99,0.9411764705882353,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,4096,200,0.975,0.9512195121951219,1.0,0.95,1.0,0.9736842105263158,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,4096,400,0.9775,0.9625,1.0,0.9411764705882353,1.0,0.975,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,4096,700,0.98,0.9703703703703703,0.9938271604938271,0.9541984732824428,1.0,0.9779411764705882,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,4096,1000,0.981,0.9766355140186916,0.9906976744186047,0.9505494505494505,1.0,0.9844559585492227,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,5120,50,0.98,1.0,1.0,0.9166666666666666,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,5120,100,0.98,1.0,1.0,0.9130434782608695,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,5120,200,0.975,0.9743589743589743,1.0,0.9375,1.0,0.9722222222222222,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,5120,400,0.975,0.9761904761904762,1.0,0.9411764705882353,1.0,0.9615384615384616,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,5120,700,0.98,0.9788732394366197,0.9916666666666667,0.9554140127388535,1.0,0.9791666666666666,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,5120,1000,0.98,0.9855769230769231,0.994413407821229,0.9447004608294931,1.0,0.9807692307692307,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,6144,50,0.98,0.8571428571428571,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,6144,100,0.99,0.9523809523809523,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,6144,200,0.975,0.9565217391304348,1.0,0.9705882352941176,1.0,0.9545454545454546,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,6144,400,0.97,0.9764705882352941,1.0,0.918918918918919,0.9894736842105263,0.9655172413793104,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,6144,700,0.9771428571428571,0.9855072463768116,0.9915254237288136,0.9379310344827586,0.9933774834437086,0.9797297297297297,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.15,6144,1000,0.978,0.9855769230769231,0.9940828402366864,0.9521531100478469,0.9951923076923077,0.9660194174757282,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,42,50,0.98,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,42,100,0.99,1.0,1.0,1.0,0.9411764705882353,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,42,200,0.995,1.0,1.0,1.0,0.967741935483871,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,42,400,0.98,0.9680851063829787,1.0,0.9436619718309859,0.9852941176470589,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,42,700,0.9857142857142858,0.9803921568627451,0.9928571428571429,0.9703703703703703,0.9924812030075187,0.9928057553956835,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,42,1000,0.984,0.981651376146789,0.9891304347826086,0.9601990049751243,0.995,0.9949238578680203,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,123,50,0.98,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,123,100,0.98,1.0,1.0,0.8823529411764706,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,123,200,0.985,1.0,1.0,0.9523809523809523,1.0,0.9772727272727273,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,123,400,0.98,1.0,0.9876543209876543,0.9347826086956522,1.0,0.9887640449438202,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,123,700,0.9757142857142858,1.0,0.9928571428571429,0.9215686274509803,1.0,0.9701492537313433,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,123,1000,0.977,1.0,0.9850746268656716,0.9392523364485982,0.9951456310679612,0.96875,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,456,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,456,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,456,200,0.985,1.0,1.0,0.9523809523809523,1.0,0.9772727272727273,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,456,400,0.9775,1.0,0.9886363636363636,0.9090909090909091,1.0,0.9878048780487805,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,456,700,0.9814285714285714,0.9924242424242424,0.9872611464968153,0.9328358208955224,1.0,0.993006993006993,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,456,1000,0.977,0.9893048128342246,0.9855072463768116,0.9371980676328503,1.0,0.9766355140186916,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,789,50,0.98,1.0,1.0,1.0,1.0,0.9,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,789,100,0.99,1.0,1.0,1.0,1.0,0.9411764705882353,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,789,200,0.995,1.0,1.0,1.0,1.0,0.972972972972973,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,789,400,0.9875,1.0,1.0,0.9722222222222222,1.0,0.96,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,789,700,0.9871428571428571,0.9932432432432432,0.9933774834437086,0.9689922480620154,1.0,0.9782608695652174,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,789,1000,0.986,0.9951456310679612,0.9872881355932204,0.9615384615384616,1.0,0.9847715736040609,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,1024,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,1024,100,0.98,1.0,0.96,1.0,1.0,0.9545454545454546,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,1024,200,0.985,0.9767441860465116,0.9743589743589743,1.0,1.0,0.975609756097561,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,1024,400,0.9825,0.9861111111111112,0.9876543209876543,0.989010989010989,0.9871794871794872,0.9615384615384616,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,1024,700,0.9828571428571429,0.9919354838709677,0.9928057553956835,0.9763313609467456,0.9926470588235294,0.9621212121212122,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,1024,1000,0.981,0.9945054945054945,0.990521327014218,0.9755102040816327,0.9894179894179894,0.953757225433526,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,2048,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,2048,100,0.99,1.0,1.0,1.0,1.0,0.9655172413793104,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,2048,200,0.98,0.9459459459459459,1.0,0.9705882352941176,1.0,0.9803921568627451,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,2048,400,0.9825,0.974025974025974,0.987012987012987,0.9722222222222222,1.0,0.9764705882352941,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,2048,700,0.9828571428571429,0.9851851851851852,0.9848484848484849,0.965034965034965,1.0,0.9787234042553191,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,2048,1000,0.98,0.984375,0.9746192893401016,0.964824120603015,1.0,0.9752475247524752,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,3072,50,0.98,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,3072,100,0.99,1.0,1.0,0.9523809523809523,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.3,3072,200,0.99,0.975,1.0,0.972972972972973,1.0,1.0,0.0,0.9934291911923904
